"","component 1","component 2"
"Bh",517.218936514976,71.5582720948791
"Bh.sd",1.03036872662436,1.30405660491867
"DP",2.1476079371172,12.1626863279008
"DP.sd",1.02442751131732,1.17152796872066
"P",0.85445445975543,0.168385834801469
"P.sd",0.0253798733439125,0.0163201452696375
"S",1.03469929725889,1.00552706637345
"S.sd",0.053265019955691,0.0909266606224444
"OC.mean",0.635000204330437,0.364999795669563
"OC.sd",0.0730529024768447,0.0907683612165132
"EC.mean",0.619375094233596,0.380628884931448
"EC.sd",0.0612234412220171,0.108618164280091
