"","component 1","component 2","component 3"
"Bh",988.1492608591,260.702590629762,38.3118303802839
"Bh.sd",1.04559911072506,1.16115727270826,1.33263772002565
"DP",1.71020577259967,2.06525766566373,3.10747997359201
"DP.sd",1.01869051475067,1.12138989912377,1.33307108094529
"P",0.873021285770305,0.300006945875647,0.03427282027704
"P.sd",0.0842670386743406,0.0305660700746646,0.0129024460945173
"S",1.44151402369789,0.678154172461289,1.2187098829448
"S.sd",0.0690600798661096,0.0923740537044235,0.151527376659317
"OC.mean",0.631445319377208,0.311605190616426,0.0569462042887583
"OC.sd",0.144831307259491,0.194307280755552,0.0744614503623058
"EC.mean",0.64516386407288,0.30000774279475,0.055223413008805
"EC.sd",0.14755672231461,0.179797656656744,0.0674992402923342
