"","component 1","component 2","component 3"
"Bh",270.097695583224,27.2812666051422,1.18904983914296
"Bh.sd",1.05918826929226,1.14768605550117,1.42416333045852
"DP",3.37164121548148,6.11378905949437,9.00000999317855
"DP.sd",1.03052197699163,1.17471092817641,1.27120373242339
"P",0.846218305186984,0.248528343507368,0.0640345029423757
"P.sd",0.0223009641471013,0.0253960075591658,0.0223592910564332
"S",1.10163995657737,1.02258202125049,1.14889632766019
"S.sd",0.0487339515483094,0.0767336243848539,0.0934830415995939
"OC.mean",0.629319095847506,0.284176301027021,0.0865046031254728
"OC.sd",0.0356522920197493,0.0991469058296646,0.1017144569964
"EC.mean",0.669915750800471,0.282322547567615,0.0477617016319131
"EC.sd",0.0605128998229426,0.102747519656091,0.0492631023532686
