"","component 1"
"Bh",114.917796594894
"Bh.sd",1.10179735281865
"DP",5.72131074100959
"DP.sd",1.12384204202295
"P",1.04902255578121
"P.sd",0.0479842042307678
"S",0.998992708869933
"S.sd",0.0675487368354312
"OC.mean",1
"OC.sd",0
"EC.mean",1
"EC.sd",0
