"","component 1","component 2"
"Bh",30.8596910073744,881.16027864795
"Bh.sd",1.06189313877042,1.11233165205357
"DP",4.00821824649015,2.16965026790035
"DP.sd",1.05670019606885,1.1350280179151
"P",0.996935867396268,0.459509453891228
"P.sd",0.0264611137864451,0.0462162962945968
"S",0.915322293722793,1.03731725607825
"S.sd",0.0437286535531935,0.0933856764346075
"OC.mean",0.812768784636621,0.187231215363379
"OC.sd",0.000684245224833735,0.0502384826697864
"EC.mean",0.794361375355409,0.205358314621101
"EC.sd",0.023040223617233,0.0728720823723366
