"","component 1","component 2"
"Bh",248.860667388161,51.6223188796254
"Bh.sd",1.03653073586997,1.24707083438597
"DP",3.50388427512201,15.2653080956272
"DP.sd",1.02246802420044,1.14519507702773
"P",0.880837386890871,0.175534433375006
"P.sd",0.0219380945087182,0.0201025799040245
"S",0.935373250711282,1.09493998354223
"S.sd",0.0318267216661257,0.0811330255719384
"OC.mean",0.726147647154063,0.273852352845937
"OC.sd",0.0727680839983048,0.0844180035464395
"EC.mean",0.713904215542536,0.286095372264589
"EC.sd",0.0674875570090617,0.0928035283624197
