DEPT .m 	Cali in	DT us/ft	GR  gAPI	LLD ohmm	LLS ohmm	MSFL ohmm	NPHI m3/m3	RHOB g/cm3	SP mV	MD M	TVDSS	UTME	UTMN
1223.26952	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	1223.301758	1212.049194	399495.75	85649.67969
1223.36952	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	1223.401733	1212.147949	399495.7813	85649.67188
1223.46952	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	1223.501831	1212.246704	399495.7813	85649.66406
1223.56952	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	1223.601807	1212.345459	399495.8125	85649.64844
1223.66952	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	1223.701904	1212.444214	399495.8438	85649.64063
1223.76952	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	1223.80188	1212.543091	399495.8438	85649.63281
1223.86952	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	1223.901978	1212.641846	399495.875	85649.61719
1223.96952	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	1224.002075	1212.740601	399495.875	85649.60938
1224.06952	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	1224.102051	1212.839356	399495.9063	85649.60156
1224.16952	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	1224.202148	1212.93811	399495.9375	85649.58594
1224.26952	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	1224.302124	1213.036865	399495.9375	85649.57813
1224.36952	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	1224.402222	1213.13562	399495.9688	85649.57031
1224.46952	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	1224.502197	1213.234375	399496	85649.55469
1224.56952	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	1224.602295	1213.33313	399496	85649.54688
1224.66952	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	1224.702271	1213.431885	399496.0313	85649.53906
1224.76952	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	1224.802368	1213.53064	399496.0625	85649.53125
1224.86952	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	1224.902466	1213.629395	399496.0625	85649.51563
1224.96952	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	1225.002441	1213.728149	399496.0938	85649.50781
1225.06952	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	1225.102539	1213.826904	399496.125	85649.5
1225.16952	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	1225.202515	1213.925659	399496.125	85649.48438
1225.26952	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	1225.302612	1214.024414	399496.1563	85649.47656
1225.36952	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	1225.402588	1214.123169	399496.1875	85649.46875
1225.46952	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	1225.502686	1214.221924	399496.1875	85649.45313
1225.56952	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	1225.602661	1214.320801	399496.2188	85649.44531
1225.66952	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	1225.702759	1214.419556	399496.25	85649.4375
1225.76952	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	1225.802856	1214.518311	399496.25	85649.42188
1225.86952	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	1225.902832	1214.617065	399496.2813	85649.41406
1225.96952	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	1226.00293	1214.71582	399496.3125	85649.40625
1226.06952	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	1226.102905	1214.814575	399496.3125	85649.39063
1226.16952	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	1226.203003	1214.91333	399496.3438	85649.38281
1226.26952	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	1226.302979	1215.012085	399496.375	85649.375
1226.36952	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	1226.403076	1215.11084	399496.375	85649.36719
1226.46952	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	1226.503052	1215.209595	399496.4063	85649.35156
1226.56952	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	1226.603149	1215.30835	399496.4375	85649.34375
1226.66952	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	1226.703247	1215.407105	399496.4375	85649.33594
1226.76952	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	1226.803223	1215.505859	399496.4688	85649.32031
1226.86952	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	1226.90332	1215.604614	399496.5	85649.3125
1226.96952	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	1227.003296	1215.703369	399496.5	85649.30469
1227.06952	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	1227.103394	1215.802124	399496.5313	85649.28906
1227.16952	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	1227.203369	1215.900879	399496.5313	85649.28125
1227.26952	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	1227.303467	1215.999634	399496.5625	85649.27344
1227.36952	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	1227.403442	1216.098511	399496.5938	85649.25781
1227.46952	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	1227.50354	1216.197266	399496.5938	85649.25
1227.56952	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	1227.603638	1216.296021	399496.625	85649.24219
1227.66952	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	1227.703613	1216.394775	399496.6563	85649.22656
1227.76952	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	1227.803711	1216.49353	399496.6563	85649.21875
1227.86952	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	1227.903687	1216.592285	399496.6875	85649.21094
1227.96952	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	1228.003784	1216.69104	399496.7188	85649.20313
1228.06952	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	1228.10376	1216.789795	399496.7188	85649.1875
1228.16952	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	1228.203857	1216.88855	399496.75	85649.17969
1228.26952	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	1228.303833	1216.987305	399496.7813	85649.17188
1228.36952	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	1228.403931	1217.08606	399496.7813	85649.15625
1228.46952	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	1228.504028	1217.184815	399496.8125	85649.14844
1228.56952	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	1228.604004	1217.283569	399496.8438	85649.14063
1228.66952	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	1228.704102	1217.382324	399496.8438	85649.125
1228.76952	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	1228.804077	1217.481079	399496.875	85649.11719
1228.86952	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	1228.904175	1217.579834	399496.9063	85649.10938
1228.96952	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	1229.00415	1217.678589	399496.9063	85649.09375
1229.06952	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	1229.104248	1217.777344	399496.9375	85649.08594
1229.16952	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	1229.204224	1217.876221	399496.9688	85649.07813
1229.26952	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	1229.304321	1217.974976	399496.9688	85649.0625
1229.36952	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	1229.404297	1218.073731	399497	85649.05469
1229.46952	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	1229.504395	1218.172485	399497.0313	85649.04688
1229.56952	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	1229.604492	1218.27124	399497.0313	85649.03906
1229.66952	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	1229.704468	1218.369995	399497.0625	85649.02344
1229.76952	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	1229.804565	1218.46875	399497.0938	85649.01563
1229.86952	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	1229.904541	1218.567505	399497.0938	85649.00781
1229.96952	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	1230.004639	1218.66626	399497.125	85648.99219
1230.06952	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	1230.104614	1218.765015	399497.1563	85648.98438
1230.16952	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	1230.204712	1218.86377	399497.1563	85648.97656
1230.26952	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	1230.304688	1218.962524	399497.1875	85648.96094
1230.36952	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	1230.404785	1219.061279	399497.1875	85648.95313
1230.46952	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	1230.504883	1219.160034	399497.2188	85648.94531
1230.56952	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	1230.604858	1219.258789	399497.25	85648.92969
1230.66952	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	1230.704956	1219.357544	399497.25	85648.92188
1230.76952	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	1230.804932	1219.456299	399497.2813	85648.91406
1230.86952	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	1230.905029	1219.555054	399497.3125	85648.89844
1230.96952	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	1231.005005	1219.653931	399497.3125	85648.89063
1231.06952	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	1231.105103	1219.752686	399497.3438	85648.88281
1231.16952	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	1231.205078	1219.85144	399497.375	85648.875
1231.26952	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	1231.305176	1219.950195	399497.375	85648.85938
1231.36952	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	1231.405273	1220.04895	399497.4063	85648.85156
1231.46952	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	1231.505249	1220.147705	399497.4375	85648.84375
1231.56952	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	1231.605347	1220.24646	399497.4375	85648.82813
1231.66952	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	1231.705322	1220.345215	399497.4688	85648.82031
1231.76952	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	1231.80542	1220.44397	399497.5	85648.8125
1231.86952	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	1231.905396	1220.542725	399497.5	85648.79688
1231.96952	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	1232.005493	1220.64148	399497.5313	85648.78906
1232.06952	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	1232.105469	1220.740234	399497.5625	85648.78125
1232.16952	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	1232.205566	1220.838989	399497.5625	85648.76563
1232.26952	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	1232.305664	1220.937744	399497.5938	85648.75781
1232.36952	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	1232.40564	1221.036499	399497.625	85648.75
1232.46952	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	1232.505737	1221.135254	399497.625	85648.73438
1232.56952	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	1232.605713	1221.234009	399497.6563	85648.72656
1232.66952	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	1232.705811	1221.332764	399497.6875	85648.71875
1232.76952	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	1232.805786	1221.431519	399497.6875	85648.71094
1232.86952	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	1232.905884	1221.530396	399497.7188	85648.69531
1232.96952	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	1233.005859	1221.62915	399497.75	85648.6875
1233.06952	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	1233.105957	1221.727905	399497.75	85648.67969
1233.16952	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	1233.206055	1221.82666	399497.7813	85648.66406
1233.26952	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	1233.30603	1221.925415	399497.8125	85648.65625
1233.36952	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	1233.406128	1222.02417	399497.8125	85648.64844
1233.46952	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	1233.506104	1222.122925	399497.8438	85648.63281
1233.56952	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	1233.606201	1222.22168	399497.8438	85648.625
1233.66952	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	1233.706177	1222.320435	399497.875	85648.61719
1233.76952	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	1233.806274	1222.41919	399497.9063	85648.60156
1233.86952	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	1233.90625	1222.517944	399497.9063	85648.59375
1233.96952	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	1234.006348	1222.616699	399497.9375	85648.58594
1234.06952	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	1234.106445	1222.715454	399497.9688	85648.57031
