DEPTH	CALI	CORE_POR	DT	GR	LLD	LLS	MSFL	NPHI	RHOB	CORE_KH	CORE_KV	MD_m	RFT	TVDSS	UTME	UTMN
1222.7	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	1222.712158	-999.25	1212.021362	400940.1875	87050.53906
1222.8	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	1222.812256	-999.25	1212.120972	400940.1875	87050.53125
1222.9	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	1222.912231	-999.25	1212.220581	400940.1875	87050.53125
1223	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	1223.012329	-999.25	1212.32019	400940.1875	87050.52344
1223.1	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	1223.112427	-999.25	1212.419922	400940.1875	87050.51563
1223.2	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	1223.212402	-999.25	1212.519531	400940.1875	87050.51563
1223.3	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	1223.3125	-999.25	1212.619141	400940.1875	87050.50781
1223.4	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	1223.412476	-999.25	1212.71875	400940.1875	87050.5
1223.5	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	1223.512573	-999.25	1212.818481	400940.1875	87050.5
1223.6	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	1223.612549	-999.25	1212.918091	400940.1875	87050.49219
1223.7	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	1223.712647	-999.25	1213.0177	400940.1875	87050.48438
1223.8	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	1223.812622	-999.25	1213.117432	400940.1875	87050.48438
1223.9	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	1223.91272	-999.25	1213.217041	400940.1875	87050.47656
1224	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	1224.012817	-999.25	1213.31665	400940.1875	87050.47656
1224.1	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	1224.112793	-999.25	1213.41626	400940.1875	87050.46875
1224.2	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	1224.212891	-999.25	1213.515991	400940.1875	87050.46094
1224.3	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	1224.312866	-999.25	1213.615601	400940.1875	87050.46094
1224.4	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	1224.412964	-999.25	1213.71521	400940.1875	87050.45313
